name,ring,quadrant,isNew,description
Verinet,Assess,Tools & Components,FALSE,"<p><b>Description</b> - <br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=11&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
SFTP,Adopt,Methods & Techniques,FALSE,"<p><b>Description</b> - <br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=12&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Azure Open Ai,Trial,Platforms & Services,FALSE,"<p><b>Description</b> - <br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=13&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Snyk,Adopt,Tools & Components,FALSE,"<p><b>Description</b> - <br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=14&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
SonarCloud,Adopt,Tools & Components,FALSE,"<p><b>Description</b> - <br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=15&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Azure,Adopt,Platforms & Services,FALSE,"<p><b>Description</b> - <br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=16&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
ChatGPT 4,Trial,AI Models,FALSE,"<p><b>Description</b> - OpenAI's top performing LLM.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=20&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
LLM Fine-tuning,Assess,Methods & Techniques,FALSE,"<p><b>Description</b> - Fine tuning of LLMs to cater to specific purposes.<br><b>License</b> - N/A<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=21&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
RAG Method,Trial,Methods & Techniques,TRUE,"<p><b>Description</b> - Retrieval augmented generation (RAG) is a natural language processing (NLP) technique that combines the strengths of both retrieval- and generative-based artificial intelligence (AI) models.<br><b>License</b> - N/A<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=22&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Azure AI Search,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - Azure AI Search (formerly known as ""Azure Cognitive Search"") provides secure information retrieval at scale over user-owned content in traditional and generative AI search applications. Information retrieval is foundational to any app that surfaces text and vectors.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=23&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Kedro,Assess,Tools & Components,TRUE,"<p><b>Description</b> -  Toolbox for production-ready data science<br><b>License</b> - Apache License 2.0<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=24&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Tensorflow,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - An end-to-end open source machine learning platform<br><b>License</b> - Apache License 2.0<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=25&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Azure AI Document Intelligence ,Assess,Platforms & Services,TRUE,"<p><b>Description</b> - Service that uses machine-learning models to extract key/value pairs, text, and tables from documents<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=26&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
 Amazon Transcribe,Assess,Platforms & Services,TRUE,"<p><b>Description</b> - Automatic speech recognition (ASR) service<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=27&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon Comprehend,Assess,Platforms & Services,TRUE,"<p><b>Description</b> - Natural-language processing (NLP) service<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=28&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
 MLflow,Assess,Platforms & Services,TRUE,"<p><b>Description</b> - MLflow is an open source platform for managing the end-to-end machine learning lifecycle.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=29&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon QuickSight,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - Business analytics service<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=30&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon API Gateway,Trial,Platforms & Services,TRUE,"<p><b>Description</b> - A fully managed service that makes it easy for developers to create, publish, maintain, monitor, and secure APIs at any scale.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=31&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
AWS Data Pipeline,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - AWS Data Pipeline is a web service that helps you reliably process and move data between different AWS compute and storage services& as well as on-premises data sources& at specified intervals.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=32&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon Aurora,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - A global-scale relational database service built for the cloud with full MySQL and PostgreSQL compatibility<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=33&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon lambda,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - A serverless compute service for running code without having to provision or manage servers<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=34&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
AWS Secrets Manager,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> -  A secrets management service that helps you protect access to your applications, services, and IT resources.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=35&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon Elastic Container Registry,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - A managed AWS container image registry service that is secure, scalable, and reliable.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=36&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon DynamoDB,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> -  A serverless, NoSQL database service that enables you to develop modern applications at any scale.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=37&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon Fargate,Adopt,Platforms & Services,TRUE,"<p><b>Description</b> - A technology that you can use with Amazon ECS to run containers without having to manage servers or clusters of Amazon EC2 instances<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=38&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
ChatGPT 3.5,Adopt,AI Models,TRUE,"<p><b>Description</b> - Description not completed.<br><b>License</b> - N/A<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=39&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Google Vision ,Adopt,AI Models,TRUE,"<p><b>Description</b> - Description not completed.<br><b>License</b> - N/A<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=40&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
